,name,rating,address,latitude,longitude,distance
0,Bettyâ€™s East,4.5,1301 Queen Street E,43.663455,-79.327992,689.7787205765445
1,Lloyd's On Queen,5.0,1298 Queen St E,43.66380139616702,-79.3283557134918,707.5988198358981
2,Boardwalk Place,2.5,1675 Lake Shore Boulevard E,43.6630096,-79.3108978,758.5673987733968
3,Baldev Paan Cold Drink House,3.0,1399 Gerrard Street E,43.67171,-79.32352,772.5122519140297
4,Two Headed Dog,2.5,1469 Gerrard Street E,43.672357884225,-79.3207821249962,792.2275544292477
5,The Thirsty Loon,4.0,1489 Gerrard Street E,43.67239417788257,-79.31990607361067,792.3322184932346
6,Lake Inez,4.5,1471 Gerrard Street E,43.67234,-79.32064,794.6619550133811
7,Black Pony,4.5,1481 Gerrard Street E,43.67241,-79.3204,805.5180733412958
8,Jenni Place,3.0,1338 Gerrard Street E,43.6718,-79.32481,829.7591404468369
9,Beach Club,3.0,1681 Lake Shore Boulevard E,43.6632065,-79.3100133,839.3120734378176
10,Toronto Beach Club,3.0,1681 Lake Shore Boulevard E,43.6632065,-79.3100133,839.3120734378176
11,JP Restaurant,3.5,270 Coxwell Avenue,43.67303,-79.31955,868.7163980383974
12,The Duke Live,3.5,1225 Queen Street E,43.6631490072311,-79.3303066492081,877.7059437687415
13,Shamrock Bowl and Restobar,4.0,280 Coxwell Avenue,43.67329,-79.31979,896.9148590711698
14,Le Conciliabule,4.5,1300 Gerrard Street E,43.671365,-79.3272249,903.6090778135728
15,Queen's Head,2.5,1214 Queen Street E,43.6632102060042,-79.3308547120553,918.5274490079247
